Entrez Gene ID,Gene Name,Description
8838,WISP3,WNT1 inducible signaling pathway protein 3
8841,HDAC3,histone deacetylase 3
8848,TSC22D1,"TSC22 domain family, member 1"
8854,ALDH1A2,"aldehyde dehydrogenase 1 family, member A2"
8856,NR1I2,"nuclear receptor subfamily 1, group I, member 2"
8864,PER2,period circadian clock 2
8870,IER3,immediate early response 3
8915,BCL10,B-cell CLL/lymphoma 10
8930,MBD4,methyl-CpG binding domain protein 4
8991,SELENBP1,selenium binding protein 1
8994,LIMD1,LIM domains containing 1
9021,SOCS3,suppressor of cytokine signaling 3
9025,RNF8,"ring finger protein 8, E3 ubiquitin protein ligase"
9046,DOK2,"docking protein 2, 56kDa"
9049,AIP,aryl hydrocarbon receptor interacting protein
9052,GPRC5A,"G protein-coupled receptor, class C, group 5, member A"
9076,CLDN1,claudin 1
9077,DIRAS3,"DIRAS family, GTP-binding RAS-like 3"
9093,DNAJA3,"DnaJ (Hsp40) homolog, subfamily A, member 3"
9113,LATS1,large tumor suppressor kinase 1
9141,PDCD5,programmed cell death 5
9148,NEURL1,neuralized E3 ubiquitin protein ligase 1
9255,AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
9314,KLF4,Kruppel-like factor 4 (gut)
9318,COPS2,COP9 signalosome subunit 2
9353,SLIT2,slit homolog 2 (Drosophila)
9365,KL,klotho
9368,SLC9A3R1,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1"
9411,ARHGAP29,Rho GTPase activating protein 29
9429,ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"
9447,AIM2,absent in melanoma 2
9455,HOMER2,homer scaffolding protein 2
9462,RASAL2,RAS protein activator like 2
9486,CHST10,carbohydrate sulfotransferase 10
9516,LITAF,lipopolysaccharide-induced TNF factor
9521,EEF1E1,eukaryotic translation elongation factor 1 epsilon 1
9538,EI24,etoposide induced 2.4
9547,CXCL14,chemokine (C-X-C motif) ligand 14
9590,AKAP12,A kinase (PRKA) anchor protein 12
9636,ISG15,ISG15 ubiquitin-like modifier
9656,MDC1,mediator of DNA-damage checkpoint 1
9667,SAFB2,scaffold attachment factor B2
9770,RASSF2,Ras association (RalGDS/AF-6) domain family member 2
9781,RNF144A,ring finger protein 144A
9788,MTSS1,metastasis suppressor 1
9821,RB1CC1,RB1-inducible coiled-coil 1
9891,NUAK1,"NUAK family, SNF1-like kinase, 1"
9901,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3
9937,DCLRE1A,DNA cross-link repair 1A
9940,DLEC1,deleted in lung and esophageal cancer 1
9988,DMTF1,cyclin D binding myb-like transcription factor 1
10010,TANK,TRAF family member-associated NFKB activator
10018,BCL2L11,BCL2-like 11 (apoptosis facilitator)
10019,SH2B3,SH2B adaptor protein 3
10048,RANBP9,RAN binding protein 9
10077,TSPAN32,tetraspanin 32
10078,TSSC4,tumor suppressing subtransferable candidate 4
10152,ABI2,abl-interactor 2
10154,PLXNC1,plexin C1
10180,RBM6,RNA binding motif protein 6
10181,RBM5,RNA binding motif protein 5
10206,TRIM13,tripartite motif containing 13
10210,TOPORS,"topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase"
10217,CTDSPL,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
10253,SPRY2,sprouty homolog 2 (Drosophila)
10273,STUB1,"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase"
10277,UBE4B,ubiquitination factor E4B
10320,IKZF1,IKAROS family zinc finger 1 (Ikaros)
10335,MRVI1,murine retrovirus integration site 1 homolog
10370,CITED2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
10395,DLC1,DLC1 Rho GTPase activating protein
10397,NDRG1,N-myc downstream regulated 1
10399,GNB2L1,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
10409,BASP1,"brain abundant, membrane attached signal protein 1"
10413,YAP1,Yes-associated protein 1
10424,PGRMC2,progesterone receptor membrane component 2
10432,RBM14,RNA binding motif protein 14
10472,ZBTB18,zinc finger and BTB domain containing 18
10481,HOXB13,homeobox B13
10514,MYBBP1A,MYB binding protein (P160) 1a
10524,KAT5,K(lysine) acetyltransferase 5
10550,ARL6IP5,ADP-ribosylation factor-like 6 interacting protein 5
10553,HTATIP2,"HIV-1 Tat interactive protein 2, 30kDa"
10562,OLFM4,olfactomedin 4
10612,TRIM3,tripartite motif containing 3
10628,TXNIP,thioredoxin interacting protein
10633,RASL10A,"RAS-like, family 10, member A"
10637,LEFTY1,left-right determination factor 1
10641,NPRL2,nitrogen permease regulator-like 2 (S. cerevisiae)
10653,SPINT2,"serine peptidase inhibitor, Kunitz type, 2"
10664,CTCF,CCCTC-binding factor (zinc finger protein)
10768,AHCYL1,adenosylhomocysteinase-like 1
10769,PLK2,polo-like kinase 2
10771,ZMYND11,"zinc finger, MYND-type containing 11"
10788,IQGAP2,IQ motif containing GTPase activating protein 2
10817,FRS3,fibroblast growth factor receptor substrate 3
10904,BLCAP,bladder cancer associated protein
10912,GADD45G,"growth arrest and DNA-damage-inducible, gamma"
10950,BTG3,"BTG family, member 3"
11009,IL24,interleukin 24
11010,GLIPR1,GLI pathogenesis-related 1
11068,CYB561D2,"cytochrome b561 family, member D2"
11074,TRIM31,tripartite motif containing 31
11080,DNAJB4,"DnaJ (Hsp40) homolog, subfamily B, member 4"
11083,DIDO1,death inducer-obliterator 1
11095,ADAMTS8,"ADAM metallopeptidase with thrombospondin type 1 motif, 8"
11107,PRDM5,PR domain containing 5
11108,PRDM4,PR domain containing 4
11122,PTPRT,"protein tyrosine phosphatase, receptor type, T"
11145,PLA2G16,"phospholipase A2, group XVI"
11178,LZTS1,"leucine zipper, putative tumor suppressor 1"
11184,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1
11186,RASSF1,Ras association (RalGDS/AF-6) domain family member 1
11197,WIF1,WNT inhibitory factor 1
11200,CHEK2,checkpoint kinase 2
11219,TREX2,three prime repair exonuclease 2
11228,RASSF8,Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
11281,POU6F2,POU class 6 homeobox 2
11315,PARK7,parkinson protein 7
11334,TUSC2,tumor suppressor candidate 2
11337,GABARAP,GABA(A) receptor-associated protein
22806,IKZF3,IKAROS family zinc finger 3 (Aiolos)
22807,IKZF2,IKAROS family zinc finger 2 (Helios)
22882,ZHX2,zinc fingers and homeoboxes 2
22925,PLA2R1,"phospholipase A2 receptor 1, 180kDa"
22933,SIRT2,sirtuin 2
22943,DKK1,dickkopf WNT signaling pathway inhibitor 1
22954,TRIM32,tripartite motif containing 32
23032,USP33,ubiquitin specific peptidase 33
23035,PHLPP2,PH domain and leucine rich repeat protein phosphatase 2
23036,ZNF292,zinc finger protein 292
23047,PDS5B,PDS5 cohesin associated factor B
23087,TRIM35,tripartite motif containing 35
23095,KIF1B,kinesin family member 1B
23136,EPB41L3,erythrocyte membrane protein band 4.1-like 3
23152,CIC,capicua transcriptional repressor
23189,KANK1,KN motif and ankyrin repeat domains 1
23193,GANAB,"glucosidase, alpha; neutral AB"
23221,RHOBTB2,Rho-related BTB domain containing 2
23239,PHLPP1,PH domain and leucine rich repeat protein phosphatase 1
23261,CAMTA1,calmodulin binding transcription activator 1
23300,ATMIN,ATM interactor
23327,NEDD4L,"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"
23328,SASH1,SAM and SH3 domain containing 1
23336,SYNM,"synemin, intermediate filament protein"
23347,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
23365,ARHGEF12,Rho guanine nucleotide exchange factor (GEF) 12
23376,UFL1,UFM1-specific ligase 1
23405,DICER1,"dicer 1, ribonuclease type III"
23409,SIRT4,sirtuin 4
23410,SIRT3,sirtuin 3
23411,SIRT1,sirtuin 1
23468,CBX5,chromobox homolog 5
23512,SUZ12,SUZ12 polycomb repressive complex 2 subunit
23513,SCRIB,scribbled planar cell polarity protein
23541,SEC14L2,SEC14-like 2 (S. cerevisiae)
23560,GTPBP4,GTP binding protein 4
23582,CCNDBP1,cyclin D-type binding-protein 1
23586,DDX58,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
23604,DAPK2,death-associated protein kinase 2
23612,PHLDA3,"pleckstrin homology-like domain, family A, member 3"
23635,SSBP2,single-stranded DNA binding protein 2
23671,TMEFF2,transmembrane protein with EGF-like and two follistatin-like domains 2
23705,CADM1,cell adhesion molecule 1
25792,CIZ1,CDKN1A interacting zinc finger protein 1
25833,POU2F3,POU class 2 homeobox 3
25855,BRMS1,breast cancer metastasis suppressor 1
25898,RCHY1,"ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase"
25930,PTPN23,"protein tyrosine phosphatase, non-receptor type 23"
26018,LRIG1,leucine-rich repeats and immunoglobulin-like domains 1
26038,CHD5,chromodomain helicase DNA binding protein 5
26047,CNTNAP2,contactin associated protein-like 2
26136,TES,testin LIM domain protein
26257,NKX2-8,NK2 homeobox 8
26260,FBXO25,F-box protein 25
26298,EHF,ets homologous factor
26468,LHX6,LIM homeobox 6
26471,NUPR1,"nuclear protein, transcriptional regulator, 1"
26512,INTS6,integrator complex subunit 6
26524,LATS2,large tumor suppressor kinase 2
26585,GREM1,"gremlin 1, DAN family BMP antagonist"
26608,TBL2,transducin (beta)-like 2
26959,HBP1,HMG-box transcription factor 1
27022,FOXD3,forkhead box D3
27030,MLH3,mutL homolog 3
27075,TSPAN13,tetraspanin 13
27086,FOXP1,forkhead box P1
27113,BBC3,BCL2 binding component 3
27122,DKK3,dickkopf WNT signaling pathway inhibitor 3
27129,HSPB7,"heat shock 27kDa protein family, member 7 (cardiovascular)"
27132,CPNE7,copine VII
27165,GLS2,"glutaminase 2 (liver, mitochondrial)"
27173,SLC39A1,"solute carrier family 39 (zinc transporter), member 1"
27232,GNMT,glycine N-methyltransferase
27250,PDCD4,programmed cell death 4 (neoplastic transformation inhibitor)
27253,PCDH17,protocadherin 17
27302,BMP10,bone morphogenetic protein 10
27303,RBMS3,"RNA binding motif, single stranded interacting protein 3"
27316,RBMX,"RNA binding motif protein, X-linked"
27330,RPS6KA6,"ribosomal protein S6 kinase, 90kDa, polypeptide 6"
27429,HTRA2,HtrA serine peptidase 2
28996,HIPK2,homeodomain interacting protein kinase 2
29072,SETD2,SET domain containing 2
29108,PYCARD,PYD and CARD domain containing
29117,BRD7,bromodomain containing 7
29119,CTNNA3,"catenin (cadherin-associated protein), alpha 3"
29760,BLNK,B-cell linker
29914,UBIAD1,UbiA prenyltransferase domain containing 1
29948,OSGIN1,oxidative stress induced growth inhibitor 1
29959,NRBP1,nuclear receptor binding protein 1
29997,GLTSCR2,glioma tumor suppressor candidate region gene 2
29998,GLTSCR1,glioma tumor suppressor candidate region gene 1
30845,EHD3,EH-domain containing 3
49860,CRNN,cornulin
50486,G0S2,G0/G1 switch 2
50514,Dec-01,deleted in esophageal cancer 1
50943,FOXP3,forkhead box P3
51100,SH3GLB1,SH3-domain GRB2-like endophilin B1
51129,ANGPTL4,angiopoietin-like 4
51147,ING4,"inhibitor of growth family, member 4"
51177,PLEKHO1,"pleckstrin homology domain containing, family O member 1"
51196,PLCE1,"phospholipase C, epsilon 1"
51201,ZDHHC2,"zinc finger, DHHC-type containing 2"
51237,MZB1,marginal zone B and B1 cell-specific protein
51247,PAIP2,poly(A) binding protein interacting protein 2
51330,TNFRSF12A,"tumor necrosis factor receptor superfamily, member 12A"
51339,DACT1,dishevelled-binding antagonist of beta-catenin 1
51343,FZR1,fizzy/cell division cycle 20 related 1 (Drosophila)
51364,ZMYND10,"zinc finger, MYND-type containing 10"
51406,NOL7,"nucleolar protein 7, 27kDa"
51473,DCDC2,doublecortin domain containing 2
51474,LIMA1,LIM domain and actin binding 1
51523,CXXC5,CXXC finger protein 5
51548,SIRT6,sirtuin 6
51684,SUFU,suppressor of fused homolog (Drosophila)
51696,HECA,headcase homolog (Drosophila)
51700,CYB5R2,cytochrome b5 reductase 2
51720,UIMC1,ubiquitin interaction motif containing 1
51741,WWOX,WW domain containing oxidoreductase
51780,KDM3B,lysine (K)-specific demethylase 3B
53353,LRP1B,low density lipoprotein receptor-related protein 1B
54206,ERRFI1,ERBB receptor feedback inhibitor 1
54556,ING3,"inhibitor of growth family, member 3"
54583,EGLN1,egl-9 family hypoxia-inducible factor 1
54739,XAF1,XIAP associated factor 1
54756,IL17RD,interleukin 17 receptor D
54766,BTG4,B-cell translocation gene 4
54778,RNF111,ring finger protein 111
54790,TET2,tet methylcytosine dioxygenase 2
54802,TRIT1,tRNA isopentenyltransferase 1
54845,ESRP1,epithelial splicing regulatory protein 1
54904,WHSC1L1,Wolf-Hirschhorn syndrome candidate 1-like 1
54971,BANP,BTG3 associated nuclear protein
54979,HRASLS2,HRAS-like suppressor 2
54984,PINX1,"PIN2/TERF1 interacting, telomerase inhibitor 1"
55124,PIWIL2,piwi-like RNA-mediated gene silencing 2
55164,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
55193,PBRM1,polybromo 1
55223,TRIM62,tripartite motif containing 62
55233,MOB1A,MOB kinase activator 1A
55259,CASC1,cancer susceptibility candidate 1
55275,VPS53,vacuolar protein sorting 53 homolog (S. cerevisiae)
55294,FBXW7,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"
55450,CAMK2N1,calcium/calmodulin-dependent protein kinase II inhibitor 1
55544,RBM38,RNA binding motif protein 38
55591,VEZT,"vezatin, adherens junctions transmembrane protein"
55615,PRR5,proline rich 5 (renal)
55630,SLC39A4,"solute carrier family 39 (zinc transporter), member 4"
55654,TMEM127,transmembrane protein 127
55717,WDR11,WD repeat domain 11
55735,DNAJC11,"DnaJ (Hsp40) homolog, subfamily C, member 11"
55743,CHFR,"checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase"
55748,CNDP2,CNDP dipeptidase 2 (metallopeptidase M20 family)
55749,CCAR1,cell division cycle and apoptosis regulator 1
55799,CACNA2D3,"calcium channel, voltage-dependent, alpha 2/delta subunit 3"
55818,KDM3A,lysine (K)-specific demethylase 3A
55840,EAF2,ELL associated factor 2
55901,THSD1,"thrombospondin, type I, domain containing 1"
55966,AJAP1,adherens junctions associated protein 1
56287,GKN1,gastrokine 1
56475,RPRM,"reprimo, TP53 dependent G2 arrest mediator candidate"
56616,DIABLO,"diablo, IAP-binding mitochondrial protein"
56666,PANX2,pannexin 2
56849,TCEAL7,transcription elongation factor A (SII)-like 7
56925,LXN,latexin
56940,DUSP22,dual specificity phosphatase 22
56954,NIT2,"nitrilase family, member 2"
56981,PRDM11,PR domain containing 11
56998,CTNNBIP1,"catenin, beta interacting protein 1"
56999,ADAMTS9,"ADAM metallopeptidase with thrombospondin type 1 motif, 9"
57107,PDSS2,"prenyl (decaprenyl) diphosphate synthase, subunit 2"
57111,RAB25,"RAB25, member RAS oncogene family"
57142,RTN4,reticulon 4
57167,SALL4,spalt-like transcription factor 4
57410,SCYL1,SCY1-like 1 (S. cerevisiae)
57447,NDRG2,NDRG family member 2
57491,AHRR,aryl-hydrocarbon receptor repressor
57509,MTUS1,microtubule associated tumor suppressor 1
57510,XPO5,exportin 5
57531,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
57575,PCDH10,protocadherin 10
57586,SYT13,synaptotagmin XIII
57599,WDR48,WD repeat domain 48
57659,ZBTB4,zinc finger and BTB domain containing 4
57727,NCOA5,nuclear receptor coactivator 5
57758,SCUBE2,"signal peptide, CUB domain, EGF-like 2"
57805,CCAR2,cell cycle and apoptosis regulator 2
57863,CADM3,cell adhesion molecule 3
58189,WFDC1,WAP four-disulfide core domain 1
58508,KMT2C,lysine (K)-specific methyltransferase 2C
59269,HIVEP3,human immunodeficiency virus type I enhancer binding protein 3
60401,EDA2R,ectodysplasin A2 receptor
60561,RINT1,RAD50 interactor 1
63035,BCORL1,BCL6 corepressor-like 1
64101,LRRC4,leucine rich repeat containing 4
64326,RFWD2,"ring finger and WD repeat domain 2, E3 ubiquitin protein ligase"
64478,CSMD1,CUB and Sushi multiple domains 1
64579,NDST4,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4
64651,CSRNP1,cysteine-serine-rich nuclear protein 1
64682,ANAPC1,anaphase promoting complex subunit 1
64753,CCDC136,coiled-coil domain containing 136
64866,CDCP1,CUB domain containing protein 1
65009,NDRG4,NDRG family member 4
65268,WNK2,WNK lysine deficient protein kinase 2
65979,PHACTR4,phosphatase and actin regulator 4
78986,DUSP26,dual specificity phosphatase 26 (putative)
79026,AHNAK,AHNAK nucleoprotein
79192,IRX1,iroquois homeobox 1
79365,BHLHE41,"basic helix-loop-helix family, member e41"
79577,CDC73,cell division cycle 73
79626,TNFAIP8L2,"tumor necrosis factor, alpha-induced protein 8-like 2"
79633,FAT4,FAT atypical cadherin 4
79648,MCPH1,microcephalin 1
79728,PALB2,partner and localizer of BRCA2
79759,ZNF668,zinc finger protein 668
79791,FBXO31,F-box protein 31
79798,ARMC5,armadillo repeat containing 5
79831,KDM8,lysine (K)-specific demethylase 8
79893,GGNBP2,gametogenetin binding protein 2
79930,DOK3,docking protein 3
79961,DENND2D,DENN/MADD domain containing 2D
80012,PHC3,polyhomeotic homolog 3 (Drosophila)
80013,FAM188A,"family with sequence similarity 188, member A"
80023,NRSN2,neurensin 2
80198,MUS81,MUS81 structure-specific endonuclease subunit
80319,CXXC4,CXXC finger protein 4
81848,SPRY4,sprouty homolog 4 (Drosophila)
83593,RASSF5,Ras association (RalGDS/AF-6) domain family member 5
83595,SOX7,SRY (sex determining region Y)-box 7
83719,YPEL3,yippee-like 3 (Drosophila)
83742,MARVELD1,MARVEL domain containing 1
83787,ARMC10,armadillo repeat containing 10
83937,RASSF4,Ras association (RalGDS/AF-6) domain family member 4
83989,FAM172A,"family with sequence similarity 172, member A"
84152,PPP1R1B,"protein phosphatase 1, regulatory (inhibitor) subunit 1B"
84260,TCHP,"trichoplein, keratin filament binding"
84289,ING5,"inhibitor of growth family, member 5"
84295,PHF6,PHD finger protein 6
84417,C2orf40,chromosome 2 open reading frame 40
84446,BRSK1,BR serine/threonine kinase 1
84464,SLX4,SLX4 structure-specific endonuclease subunit
84525,HOPX,HOP homeobox
84632,AFAP1L2,actin filament associated protein 1-like 2
84651,SPINK7,"serine peptidase inhibitor, Kazal type 7 (putative)"
84700,MYO18B,myosin XVIIIB
84707,BEX2,brain expressed X-linked 2
84816,RTN4IP1,reticulon 4 interacting protein 1
84872,ZC3H10,zinc finger CCCH-type containing 10
84879,MFSD2A,major facilitator superfamily domain containing 2A
84897,TBRG1,transforming growth factor beta regulator 1
84911,ZNF382,zinc finger protein 382
84934,RITA1,RBPJ interacting and tubulin associated 1
85403,EAF1,ELL associated factor 1
85480,TSLP,thymic stromal lymphopoietin
89870,TRIM15,tripartite motif containing 15
89884,LHX4,LIM homeobox 4
90249,UNC5A,unc-5 homolog A (C. elegans)
90427,BMF,Bcl2 modifying factor
90480,GADD45GIP1,"growth arrest and DNA-damage-inducible, gamma interacting protein 1"
90627,STARD13,StAR-related lipid transfer (START) domain containing 13
90993,CREB3L1,cAMP responsive element binding protein 3-like 1
91133,L3MBTL4,l(3)mbt-like 4 (Drosophila)
91608,RASL10B,"RAS-like, family 10, member B"
91768,CABLES1,Cdk5 and Abl enzyme substrate 1
92304,SCGB3A1,"secretoglobin, family 3A, member 1"
92335,STRADA,STE20-related kinase adaptor alpha
92344,GORAB,"golgin, RAB6-interacting"
92597,MOB1B,MOB kinase activator 1B
93492,TPTE2,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2
94031,HTRA3,HtrA serine peptidase 3
94241,TP53INP1,tumor protein p53 inducible nuclear protein 1
112399,EGLN3,egl-9 family hypoxia-inducible factor 3
112464,PRKCDBP,"protein kinase C, delta binding protein"
114757,CYGB,cytoglobin
114826,SMYD4,SET and MYND domain containing 4
114907,FBXO32,F-box protein 32
115426,UHRF2,"ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase"
115761,ARL11,ADP-ribosylation factor-like 11
116071,BATF2,"basic leucine zipper transcription factor, ATF-like 2"
116135,LRRC3B,leucine rich repeat containing 3B
116173,CMTM5,CKLF-like MARVEL transmembrane domain containing 5
117153,MIA2,melanoma inhibitory activity 2
117581,TWIST2,twist family bHLH transcription factor 2
121227,LRIG3,leucine-rich repeats and immunoglobulin-like domains 3
122953,JDP2,Jun dimerization protein 2
123879,DCUN1D3,"DCN1, defective in cullin neddylation 1, domain containing 3"
123920,CMTM3,CKLF-like MARVEL transmembrane domain containing 3
126520,PLK5,polo-like kinase 5
127700,OSCP1,organic solute carrier partner 1
130399,ACVR1C,"activin A receptor, type IC"
134111,UBE2QL1,ubiquitin-conjugating enzyme E2Q family-like 1
135138,PACRG,PARK2 co-regulated
137075,CLDN23,claudin 23
137970,UNC5D,unc-5 homolog D (C. elegans)
139285,AMER1,APC membrane recruitment protein 1
140628,GATA5,GATA binding protein 5
140690,CTCFL,CCCTC-binding factor (zinc finger protein)-like
144165,PRICKLE1,prickle homolog 1 (Drosophila)
146691,TOM1L2,target of myb1-like 2 (chicken)
148252,DIRAS1,"DIRAS family, GTP-binding RAS-like 1"
149628,PYHIN1,"pyrin and HIN domain family, member 1"
150094,SIK1,salt-inducible kinase 1
151742,PPM1L,"protein phosphatase, Mg2+/Mn2+ dependent, 1L"
152573,SHISA3,shisa family member 3
153090,DAB2IP,DAB2 interacting protein
159989,CCDC67,coiled-coil domain containing 67
160492,LMNTD1,lamin tail domain containing 1
160728,SLC5A8,"solute carrier family 5 (sodium/monocarboxylate cotransporter), member 8"
164656,TMPRSS6,"transmembrane protease, serine 6"
167465,ZNF366,zinc finger protein 366
170692,ADAMTS18,"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
171023,ASXL1,additional sex combs like transcriptional regulator 1
171024,SYNPO2,synaptopodin 2
196528,ARID2,"AT rich interactive domain 2 (ARID, RFX-like)"
199731,CADM4,cell adhesion molecule 4
200504,GKN2,gastrokine 2
201163,FLCN,folliculin
201501,ZBTB7C,zinc finger and BTB domain containing 7C
219285,SAMD9L,sterile alpha motif domain containing 9-like
219333,USP12,ubiquitin specific peptidase 12
219699,UNC5B,unc-5 homolog B (C. elegans)
220296,HEPACAM,hepatic and glial cell adhesion molecule
222235,FBXL13,F-box and leucine-rich repeat protein 13
222236,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D
253559,CADM2,cell adhesion molecule 2
253738,EBF3,early B-cell factor 3
254394,MCM9,minichromosome maintenance complex component 9
255877,BCL6B,"B-cell CLL/lymphoma 6, member B"
257218,SHPRH,"SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase"
259230,SGMS1,sphingomyelin synthase 1
283349,RASSF3,Ras association (RalGDS/AF-6) domain family member 3
283518,KCNRG,potassium channel regulator
284406,ZFP82,ZFP82 zinc finger protein
285671,RNF180,ring finger protein 180
286319,TUSC1,tumor suppressor candidate 1
286826,LIN9,lin-9 DREAM MuvB core complex component
338442,HCAR2,hydroxycarboxylic acid receptor 2
339967,TMPRSS11A,"transmembrane protease, serine 11A"
347252,IGFBPL1,insulin-like growth factor binding protein-like 1
373863,DND1,DND microRNA-mediated repression inhibitor 1
374654,KIF7,kinesin family member 7
378708,APITD1,"apoptosis-inducing, TAF9-like domain 1"
387496,RASL11A,"RAS-like, family 11, member A"
400410,ST20,suppressor of tumorigenicity 20
401494,HACD4,3-hydroxyacyl-CoA dehydratase 4
414899,BLID,"BH3-like motif containing, cell death inducer"
644943,RASSF10,Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
645811,CCDC154,coiled-coil domain containing 154
100132074,FOXO6,forkhead box O6
101927423,PANO1,proapoptotic nucleolar protein 1
103344718,HOTS,H19 Opposite Tumor Suppressor
